Josip Hatze,Pietro Mascagni
Gérard Grisey,Hugues Dufourt
Gérard Grisey,Iannis Xenakis
Gérard Grisey,Karlheinz Stockhausen
Gérard Grisey,Olivier Messiaen
Gérard Grisey,Tristan Murail
Angelo Gilardino,Antonio Vivaldi
Angelo Gilardino,Cyril Scott
Angelo Gilardino,Francisco Tárrega
Angelo Gilardino,Franz Liszt
Angelo Gilardino,John W. Duarte
Angelo Gilardino,Lennox Berkeley
Angelo Gilardino,Ottorino Respighi
Angelo Gilardino,Pierre de Bréville
Angelo Gilardino,Robert Schumann
Alexander Borodin,Alexander Glazunov
Alexander Borodin,Claude Debussy
Alexander Borodin,César Cui
Alexander Borodin,Franz Liszt
Alexander Borodin,Maurice Ravel
Alexander Borodin,Mily Balakirev
Alexander Borodin,Modest Mussorgsky
Alexander Borodin,Nikolai Rimsky-Korsakov
Antonio Rosetti,Ernst Wilhelm Wolf
Antonio Rosetti,Joseph Haydn
Antonio Rosetti,Wolfgang Amadeus Mozart
Johann Peter Pixis,Antonio Salieri
Johann Peter Pixis,Carl Maria von Weber
Johann Peter Pixis,Ferdinand Hiller
Johann Peter Pixis,Franz Liszt
Johann Peter Pixis,Friedrich Kalkbrenner
Johann Peter Pixis,Frédéric Chopin
Johann Peter Pixis,Giacomo Meyerbeer
Johann Peter Pixis,Johann Georg Albrechtsberger
Johann Peter Pixis,Ludwig van Beethoven
Johann Peter Pixis,Sigismond Thalberg
Johann Peter Pixis,Stephen Heller
Johann Peter Pixis,Vincenzo Bellini
German Cáceres,David Diamond (composer)
German Cáceres,José Serebrier
German Cáceres,Julián Orbón
Filippo Tommaso Marinetti,Giacomo Balla
Filippo Tommaso Marinetti,Luigi Russolo
Niccolò Jommelli,Alessandro Scarlatti
Niccolò Jommelli,Christoph Willibald Gluck
Niccolò Jommelli,Domenico Cimarosa
Niccolò Jommelli,Francesco Durante
Niccolò Jommelli,Giovanni Battista Martini
Niccolò Jommelli,Giovanni Battista Pergolesi
Niccolò Jommelli,Giovanni Paisiello
Niccolò Jommelli,Jean-Philippe Rameau
Niccolò Jommelli,Johann Adolf Hasse
Niccolò Jommelli,Leonardo Leo
Niccolò Jommelli,Leonardo Vinci
Niccolò Jommelli,Niccolò Piccinni
Niccolò Jommelli,Tommaso Traetta
Niccolò Jommelli,Wolfgang Amadeus Mozart
Viktor Ullmann,Alexander von Zemlinsky
Viktor Ullmann,Alois Hába
Viktor Ullmann,Arnold Schoenberg
Viktor Ullmann,Ernst Krenek
Viktor Ullmann,Friedrich Nietzsche
Viktor Ullmann,Gideon Klein
Viktor Ullmann,Gustav Mahler
Viktor Ullmann,Richard Strauss
Ethel Smyth,Antonín Dvořák
Ethel Smyth,Carl Reinecke
Ethel Smyth,Clara Schumann
Ethel Smyth,Edvard Grieg
Ethel Smyth,Hector Berlioz
Ethel Smyth,Pyotr Ilyich Tchaikovsky
Ethel Smyth,Richard Wagner
Daniel Lentz,Arne Mellnäs
Daniel Lentz,Claus-Steffen Mahnkopf
Daniel Lentz,Costin Miereanu
Daniel Lentz,Fabio Vacchi
Daniel Lentz,Ib Nørholm
Daniel Lentz,Ingram Marshall
Daniel Lentz,Jan Vriend
Daniel Lentz,John McGuire (composer)
Daniel Lentz,Louis Andriessen
Daniel Lentz,Michel van der Aa
Daniel Lentz,Pauline Oliveros
Daniel Lentz,Peter Schat
Daniel Lentz,Richard Barrett (composer)
Daniel Lentz,Régis Campo
Daniel Lentz,Vinko Globokar
Daniel Lentz,Yannis Kyriakides
Daniel Lentz,Yoshiaki Onishi
Daniel Lentz,Șerban Nichifor
Fumio Hayasaka,Akira Ifukube
Fumio Hayasaka,Giuseppe Verdi
Jan Bach,Aaron Copland
Jan Bach,Roberto Gerhard
Frédéric Chopin,Alexander Dargomyzhsky
Frédéric Chopin,Alexander Glazunov
Frédéric Chopin,Anatoly Lyadov
Frédéric Chopin,Anton Bruckner
Frédéric Chopin,Antonín Dvořák
Frédéric Chopin,Bedřich Smetana
Frédéric Chopin,Bettina von Arnim
Frédéric Chopin,Bohuslav Martinů
Frédéric Chopin,Carl Friedrich Zelter
Frédéric Chopin,Carl Loewe
Frédéric Chopin,Carl Maria von Weber
Frédéric Chopin,Clara Schumann
Frédéric Chopin,Claude Debussy
Frédéric Chopin,César Franck
Frédéric Chopin,Daniel Auber
Frédéric Chopin,Darius Milhaud
Frédéric Chopin,E. T. A. Hoffmann
Frédéric Chopin,Edvard Grieg
Frédéric Chopin,Fanny Mendelssohn
Frédéric Chopin,Ferdinand David (musician)
Frédéric Chopin,Ferdinand Hiller
Frédéric Chopin,Ferruccio Busoni
Frédéric Chopin,Franz Liszt
Frédéric Chopin,Friedrich Kalkbrenner
Frédéric Chopin,Félicien David
Frédéric Chopin,Gabriel Fauré
Frédéric Chopin,Gaetano Donizetti
Frédéric Chopin,Gaspare Spontini
Frédéric Chopin,George Onslow (composer)
Frédéric Chopin,Giacomo Meyerbeer
Frédéric Chopin,Giacomo Orefice
Frédéric Chopin,Gioachino Rossini
Frédéric Chopin,Giuseppe Verdi
Frédéric Chopin,Hector Berlioz
Frédéric Chopin,Heinrich Marschner
